,개방장소명,개방장소,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
상봉1동주민센터 나눔카페,상봉1동주민센터,상봉,기타,토+일,13:00,17:00,0:00,0:00,N,2,0,,,10,66,,인터넷,,서울특별시 중랑구 상봉중앙로1길 6,서울특별시 중랑구 상봉동 204-1,서울특별시 중랑구 상봉1동주민센터,,02-2094-6259,37.599811,127.0871498,2022-09-30
상봉1동주민센터 강의실,상봉1동주민센터,상봉,강의실,토+일,10:00,17:00,0:00,0:00,Y,2,10000,1,5000,10,30,,인터넷,,서울특별시 중랑구 상봉중앙로1길 6,서울특별시 중랑구 상봉동 204-1,서울특별시 중랑구 상봉1동주민센터,,02-2094-6259,37.599811,127.0871498,2022-09-30
묵2동주민센터 다목적실,묵2동주민센터,묵,다목적실,토+일,9:00,18:00,0:00,0:00,Y,2,10000,1,5000,40,80,,인터넷,,서울특별시 중랑구 동일로 157길 29,서울특별시 중랑구 묵동 243-1,서울특별시 중랑구 묵2동주민센터,,02-2094-6466,37.60960412,127.0760103,2022-09-30
묵1동주민센터 공유사무실,묵1동주민센터,묵,기타,토+일,9:00,18:00,0:00,0:00,Y,2,10000,1,5000,10,67.8,,인터넷,,서울특별시 중랑구 공릉로2가길 5,서울특별시 중랑구 묵동 174-3,서울특별시 중랑구 묵1동주민센터,,02-2094-6415,37.61241458,127.078464,2022-09-30
묵1동주민센터 주민사랑방,묵1동주민센터,묵,다목적실,토+일,9:00,18:00,0:00,0:00,Y,2,10000,1,5000,15,51,,인터넷,,서울특별시 중랑구 공릉로2가길 5,서울특별시 중랑구 묵동 174-3,서울특별시 중랑구 묵1동주민센터,,02-2094-6415,37.61241458,127.078464,2022-09-30
면목본동주민센터 세미나실,면목본동주민센터,면목,강의실,토+일,13:00,18:00,0:00,0:00,Y,2,10000,1,5000,80,100,,인터넷,,서울특별시 중랑구 면목로 397,서울특별시 중랑구 면목동 115-18,서울특별시 중랑구 면목본동주민센터,,02-2094-6013,37.58735561,127.0875552,2022-09-30
면목본동주민센터 교양강좌실,면목본동주민센터,면목,강의실,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,2,10000,1,5000,20,32,,인터넷,,서울특별시 중랑구 면목로 397,서울특별시 중랑구 면목동 115-18,서울특별시 중랑구 면목본동주민센터,,02-2094-6013,37.58735561,127.0875552,2022-09-30
면목본동주민센터 사랑방,면목본동주민센터,면목,강의실,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,2,10000,1,5000,20,32,,인터넷,,서울특별시 중랑구 면목로 397,서울특별시 중랑구 면목동 115-18,서울특별시 중랑구 면목본동주민센터,,02-2094-6013,37.58735561,127.0875552,2022-09-30
면목본동주민센터 문화교실,면목본동주민센터,면목,강의실,토+일(시설 사정에 따라 변경가능),17:00,18:00,0:00,0:00,Y,2,10000,1,5000,80,41,,인터넷,,서울특별시 중랑구 면목로 397,서울특별시 중랑구 면목동 115-18,서울특별시 중랑구 면목본동주민센터,,02-2094-6013,37.58735561,127.0875552,2022-09-30
면목7동주민센터 다목적실,면목7동주민센터,면목,다목적실,일(시설 사정에 따라 변경가능),18:00,21:00,9:00,17:00,Y,2,10000,1,5000,15,40,,인터넷,,서울특별시 중랑구 면목로 298,서울특별시 중랑구 면목동 626-11,서울특별시 중랑구 면목7동주민센터,,02-2094-6225,37.57901366,127.086951,2022-09-30
면목5동주민센터 자치회관 대강당,면목5동주민센터,면목,강당,일(시설 사정에 따라 변경가능),0:00,0:00,11:00,17:00,Y,2,10000,1,5000,50,147.15,,인터넷,,서울특별시 중랑구 동일로 619,서울특별시 중랑구 면목동 175-18,서울특별시 중랑구 면목5동주민센터,,02-2094-6173,37.585745,127.079482,2022-09-30
면목5동주민센터 이룸카페,면목5동주민센터,면목,기타,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,2,10000,1,5000,10,13.5,,인터넷,,서울특별시 중랑구 동일로 619,서울특별시 중랑구 면목동 175-18,서울특별시 중랑구 면목5동주민센터,,02-2094-6173,37.585745,127.079482,2022-09-30
면목5동주민센터 창작교실,면목5동주민센터,면목,기타,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,2,10000,1,5000,20,34.5,,인터넷,,서울특별시 중랑구 동일로 619,서울특별시 중랑구 면목동 175-18,서울특별시 중랑구 면목5동주민센터,,02-2094-6173,37.585745,127.079482,2022-09-30
면목5동주민센터 주민사랑방,면목5동주민센터,면목,다목적실,토+일,9:00,21:00,0:00,0:00,Y,3,10000,1,5000,30,147,,인터넷,,서울특별시 중랑구 동일로 619,서울특별시 중랑구 면목동 175-18,서울특별시 중랑구 면목5동주민센터,,02-2094-6173,37.585745,127.079482,2022-09-30
면목4동주민센터 회의실,면목4동주민센터,면목,다목적실,일(시설 사정에 따라 변경가능),9:00,21:00,10:00,18:00,Y,2,10000,1,5000,30,80,,인터넷,,서울특별시 중랑구 면목로 246,서울특별시 중랑구 면목동 378-9,서울특별시 중랑구 면목4동주민센터,,02-2094-6133,37.57470151,127.0856085,2022-09-30
면목4동주민센터 자치카페,면목4동주민센터,면목,다목적실,일(시설 사정에 따라 변경가능),9:00,17:00,10:00,18:00,N,2,10000,1,5000,10,60,,인터넷,,서울특별시 중랑구 면목로 246,서울특별시 중랑구 면목동 378-9,서울특별시 중랑구 면목4동주민센터,,02-2094-6133,37.57470151,127.0856085,2022-09-30
면목4동주민센터 바리스타 실습실,면목4동주민센터,면목,다목적실,일(시설 사정에 따라 변경가능),9:00,17:00,10:00,18:00,N,1,5000,1,5000,4,60,,인터넷,,서울특별시 중랑구 면목로 246,서울특별시 중랑구 면목동 378-9,서울특별시 중랑구 면목4동주민센터,,02-2094-6133,37.57470151,127.0856085,2022-09-30
면목3·8동주민센터 회의실,면목3·8동주민센터,면목,회의실,일(시설 사정에 따라 변경가능),9:00,21:00,10:00,18:00,Y,1,5000,3,6000,50,150,,인터넷,,서울특별시 중랑구 사가정로 51길 48,서울특별시 중랑구 면목동 498-6,서울특별시 중랑구 면목3·8동주민센터,,02-2094-6111,37.5829203,127.088056,2022-09-30
면목3·8동주민센터 다목적실,면목3·8동주민센터,면목,다목적실,일(시설 사정에 따라 변경가능),18:00,21:00,10:00,18:00,Y,1,5000,3,6000,30,123,,인터넷,,서울특별시 중랑구 사가정로 51길 48,서울특별시 중랑구 면목동 498-6,서울특별시 중랑구 면목3·8동주민센터,,02-2094-6111,37.5829203,127.088056,2022-09-30
면목2동주민센터 2층 한울실,면목2동주민센터,면목,다목적실,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,2,10000,1,5000,15,35,,인터넷,,서울특별시 중랑구 동일로 101길 20,서울특별시 중랑구 면목동 180-8,서울특별시 중랑구 면목2동주민센터,,02-2094-6053,37.5891124,127.0788106,2022-09-30
면목2동주민센터 2층 새늘실,면목2동주민센터,면목,다목적실,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,2,10000,1,5000,20,52,,인터넷,,서울특별시 중랑구 동일로 101길 20,서울특별시 중랑구 면목동 180-8,서울특별시 중랑구 면목2동주민센터,,02-2094-6053,37.5891124,127.0788106,2022-09-30
면목2동주민센터 3층 관람실,면목2동주민센터,면목,다목적실,토+일,10:00,21:00,0:00,0:00,Y,2,10000,1,5000,38,95,,인터넷,,서울특별시 중랑구 동일로 101길 20,서울특별시 중랑구 면목동 180-8,서울특별시 중랑구 면목2동주민센터,,02-2094-6053,37.5891124,127.0788106,2022-09-30
면목2동주민센터 3층 사랑방,면목2동주민센터,면목,다목적실,토+일,10:00,21:00,0:00,0:00,Y,2,10000,1,5000,16,40,,인터넷,,서울특별시 중랑구 동일로 101길 20,서울특별시 중랑구 면목동 180-8,서울특별시 중랑구 면목2동주민센터,,02-2094-6053,37.5891124,127.0788106,2022-09-30
망우본동주민센터 다목적실,망우본동주민센터,망우,다목적실,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,1,10000,1,10000,35,160.59,,인터넷,,서울특별시 중랑구 망우로 67길 10,서울특별시 중랑구 망우동 340-17,서울특별시 중랑구 망우본동주민센터,,02-2094-6499,37.60056074,127.1014872,2022-09-30
망우본동주민센터 교양강좌실,망우본동주민센터,망우,강의실,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,1,5000,1,5000,45,67.76,,인터넷,,서울특별시 중랑구 망우로 67길 10,서울특별시 중랑구 망우동 340-17,서울특별시 중랑구 망우본동주민센터,,02-2094-6499,37.60056074,127.1014872,2022-09-30
망우본동주민센터 지하 문화강좌실,망우본동주민센터,망우,강의실,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,1,5000,1,5000,20,106.22,,인터넷,,서울특별시 중랑구 망우로 67길 10,서울특별시 중랑구 망우동 340-17,서울특별시 중랑구 망우본동주민센터,,02-2094-6499,37.60056074,127.1014872,2022-09-30
망우본동주민센터 지하  생활체육실,망우본동주민센터,망우,강의실,일(시설 사정에 따라 변경가능),9:00,21:00,9:00,17:00,Y,1,5000,1,5000,25,108.87,,인터넷,,서울특별시 중랑구 망우로 67길 10,서울특별시 중랑구 망우동 340-17,서울특별시 중랑구 망우본동주민센터,,02-2094-6499,37.60056074,127.1014872,2022-09-30
망우3동주민센터 대강당,망우3동주민센터,망우,다목적실,토+일,9:00,21:00,0:00,0:00,Y,2,10000,1,5000,35,139.51,,인터넷,,서울특별시 중랑구 겸재로61길 75,서울특별시 중랑구 망우동 529-2,서울특별시 중랑구 망우3동주민센터,,02-2094-6533,37.59354878,127.0944279,2022-09-30
망우3동주민센터 프로그램실,망우3동주민센터,망우,회의실,토+일,9:00,18:00,0:00,0:00,Y,2,5000,1,5000,20,58,,인터넷,,서울특별시 중랑구 겸재로61길 75,서울특별시 중랑구 망우동 529-2,서울특별시 중랑구 망우3동주민센터,,02-2094-6533,37.59354878,127.0944279,2022-09-30
소공동 주민센터 강의실(3층),소공동 주민센터,소공,강의실,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,18,126.25,책상+의자+화이트보드+오디오+냉난방기+사회대,온라인+전화+방문,,서울특별시 중구 남대문로1길 31-5,,서울특별시 중구 소공동,소공동주민센터,02-3396-6507,37.5624216,126.9770418,2022-05-30
소공동 주민센터 강당(4층),소공동 주민센터,소공,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,24,135.54,책상+의자+화이트보드+음향기기+냉난방기+사회대+빔프로젝터+전면거울+탈의실,온라인+전화+방문,,서울특별시 중구 남대문로1길 31-5,,서울특별시 중구 소공동,소공동주민센터,02-3396-6507,37.5624216,126.9770418,2022-05-30
회현동 주민센터 복합커뮤니티공간(다락) (2층),회현동 주민센터,회현,기타,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,30,86,빔프로젝터+책상+의자+냉난방설비,전화+방문,,서울특별시 중구 퇴계로8길 46,,서울특별시 중구 회현동,회현동주민센터,02-3396-6543,37.557286,126.979356,2022-05-30
회현동 주민센터 음악창작소(2층),회현동 주민센터,회현,기타,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,5,40,피아노+드럼+기타+냉난방설비+책상+의자,온라인+전화+방문,,서울특별시 중구 퇴계로8길 46,,서울특별시 중구 회현동,회현동주민센터,02-3396-6543,37.557286,126.979356,2022-05-30
회현동 주민센터 강당(3층),회현동 주민센터,회현,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,10,231,탁구대+사회대+냉난방설비+책상+의자,전화+방문,,서울특별시 중구 퇴계로8길 46,,서울특별시 중구 회현동,회현동주민센터,02-3396-6543,37.557286,126.979356,2022-05-30
명동 주민센터 강당(3층),명동 주민센터,명동,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,15,120,빔프로젝터+사회대+CD플레이어+마이크+책상+의자+화이트보드+커피머신,온라인+전화+방문,,서울특별시 중구 퇴계로20길 3,,서울특별시 중구 명동,명동주민센터,02-3396-8484,37.560047,126.985816,2022-05-30
필동 주민센터 강당(2층),필동 주민센터,필동,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,30,120,빔프로젝터+음향기기+화이트보드책상+의자+사회대+전면거울,온라인+전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구 필동,필동주민센터,02-3396-6592,37.560156,126.995599,2022-05-30
"필동 주민센터 복합스튜디오(연주실,녹음실)",필동 주민센터,필동,기타,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,5,16.7,대형TV+컴퓨터,온라인+전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구 필동,필동주민센터,02-3396-6592,37.560156,126.995599,2022-05-30
필동 주민센터 갤러리(2층),필동 주민센터,필동,기타,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,20,26,,온라인+전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구 필동,필동주민센터,02-3396-6592,37.560156,126.995599,2022-05-30
장충동 주민센터 커뮤니티공간(2층),장충동 주민센터,장충,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,10,55,커피머신+도서(300여권)+보드게임+정수기,전화+방문,,서울특별시 중구 장충단로8길 22,,서울특별시 중구 장충동,장충동주민센터,02-3396-8504,37.5619082,127.0078413,2022-05-30
장충동 주민센터 강당(5층),장충동 주민센터,장충,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,20,75,대형 벽거울+탁구대+음향기기(노래반주 가능)+빔프로젝터 및 스크린+정수기,전화+방문,,서울특별시 중구 장충단로8길 22,,서울특별시 중구 장충동,장충동주민센터,02-3396-8504,37.5619082,127.0078413,2022-05-30
광희동 주민센터 광희마루(2층),광희동 주민센터,광희,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,15,78,책상+의자+냉난방설비,온라인+전화+방문,,서울특별시 중구 퇴계로 303-9,,서울특별시 중구 광희동,광희동주민센터,02-3396-6654,37.564461,127.005039,2022-05-30
광희동 주민센터 강당(5층),광희동 주민센터,광희,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,30,156,빔프로젝터+음향장비+회의용테이블+의자+사회대+화이트보드+탁구대+보드게임+냉난방설비,온라인+전화+방문,,서울특별시 중구 퇴계로 303-9,,서울특별시 중구 광희동,광희동주민센터,02-3396-6654,37.564461,127.005039,2022-05-30
을지로동 주민센터 을지다움(2층),을지로동 주민센터,을지,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,40,143.06,책상+의자+장기+바둑+보드게임+셀프포토스튜디오+냉난방시설+카페운영,온라인+전화+방문,,서울특별시 중구 충무로9길 19,,서울특별시 중구 을지로동,을지로동주민센터,02-3396-6695,37.566697,126.991352,2022-05-30
을지로동 주민센터 회의실(2층),을지로동 주민센터,을지,강의실,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,20,68.04,책상+의자+빔프로젝트+화이트보드+노트북+사회대+냉난방시설,온라인+전화+방문,,서울특별시 중구 충무로9길 19,,서울특별시 중구 을지로동,을지로동주민센터,02-3396-6695,37.566697,126.991352,2022-05-30
을지로동 주민센터 프로그램실1(3층),을지로동 주민센터,을지,강의실,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,12,39,책상+의자+책+책장+칠판+냉난방시설,온라인+전화+방문,,서울특별시 중구 충무로9길 19,,서울특별시 중구 을지로동,을지로동주민센터,02-3396-6695,37.566697,126.991352,2022-05-30
을지로동 주민센터 대강당(4층),을지로동 주민센터,을지,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,100,201.13,책상+의자+빔프로젝트+음향시설+사회대+보면대+냉난방시설+전면거울+탁구대+포켓볼대+골프스윙기+폼롤러+요가매트+줄넘기+훌라우프,온라인+전화+방문,,서울특별시 중구 충무로9길 19,,서울특별시 중구 을지로동,을지로동주민센터,02-3396-6695,37.566697,126.991352,2022-05-30
신당동 주민센터 배움누리2(5층)*소강당,신당동 주민센터,신당,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,50,128,빔프로젝터,전화+방문,,서울특별시 중구 다산로33가길 3,,서울특별시 중구 신당동,신당동주민센터,02-3396-8443,37.56268964,127.0139655,2022-05-30
다산동 주민센터 다산마루(2층),다산동 주민센터,다산,강의실,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,24,67.81,빔프로젝터+HDMI케이블+책상+의자+화이트보드+냉난방설비,전화,,서울특별시 중구 동호로15길 50,,서울특별시 중구 다산동,다산동주민센터,02-3396-6748,37.554332,127.008293,2022-05-30
다산동 주민센터 카페마루(2층),다산동 주민센터,다산,기타,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,0,72.43,커피머신+안마기기+책상+의자+냉난방설비,전화,,서울특별시 중구 동호로15길 50,,서울특별시 중구 다산동,다산동주민센터,02-3396-6748,37.554332,127.008293,2022-05-30
다산동 주민센터 대강당(1층),다산동 주민센터,다산,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,0,0,,전화,,서울특별시 중구 동호로15길 50,,서울특별시 중구 다산동,다산동주민센터,02-3396-6748,37.554332,127.008293,2022-05-30
약수동 주민센터 강당(4층),약수동 주민센터,약수,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,50,250.56,빔프로젝터+음향장비+책상+의자+냉난방설비+사회대+전면거울+탈의실+탁구대+보드게임,온라인+전화+방문,,서울특별시 중구 다산로92,,서울특별시 중구 약수동,약수동주민센터,02-3396-8525,37.552472,127.008994,2022-05-30
청구동 주민센터 커뮤니티공간(2층) *소회의실,청구동 주민센터,청구,강의실,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,8,45,테이블+의자,전화,,서울특별시 중구 청구로3길 55,,서울특별시 중구 청구동,청구동주민센터,02-3396-6802,37.55706761,127.014617,2022-05-30
청구동 주민센터 패밀리카페(3층),청구동 주민센터,청구,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,20,111.03,빔프로젝터+음향장비+테이블+의자+냉난방설비+사회대+전면거울+미니당구대+보드게임+다트게임+만화책,전화,,서울특별시 중구 청구로3길 55,,서울특별시 중구 청구동,청구동주민센터,02-3396-6802,37.55706761,127.014617,2022-05-30
신당5동 주민센터 다목적실(B1),신당5동 주민센터,신당,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,20,114,빔프로젝터+전면거울+냉난방설비+좌식테이블+탁구대+보드게임,온라인+전화+방문,,서울특별시 중구 다산로44길 85,,서울특별시 중구 신당5동,신당5동주민센터,02-3396-6834,37.565128,127.021868,2022-05-30
신당5동 주민센터 강당(3층),신당5동 주민센터,신당,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,40,221,빔프로젝터+음향장비+책상+의자+냉난방설비+사회대,온라인+전화+방문,,서울특별시 중구 다산로44길 85,,서울특별시 중구 신당5동,신당5동주민센터,02-3396-6834,37.565128,127.021868,2022-05-30
신당5동 주민센터 옥상정원,신당5동 주민센터,신당,기타,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,0,0,,온라인+전화+방문,,서울특별시 중구 다산로44길 85,,서울특별시 중구 신당5동,신당5동주민센터,02-3396-6834,37.565128,127.021868,2022-05-30
동화동 주민센터 다목적강당(B1),동화동 주민센터,동화,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,40,391,빔프로젝터,방문,,서울특별시 중구 다산로36길 100,,서울특별시 중구 동화동,동화동주민센터,02-3396-8464,37.559982,127.019421,2022-05-30
동화동 주민센터 우리동네관리사무소(1층),동화동 주민센터,동화,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,25,230,빔프로젝터,방문,,서울특별시 중구 다산로36길 100,,서울특별시 중구 동화동,동화동주민센터,02-3396-8464,37.559982,127.019421,2022-05-30
황학동 주민센터 미팅룸(1층),황학동 주민센터,황학,강의실,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,10,30,빔프로젝터+스크린+테이블+의자,온라인+전화+방문,,서울특별시 중구 난계로11길 52,,서울특별시 중구 황학동,황학동주민센터,02-3396-6893,37.56742273,127.0213823,2022-05-30
황학동 주민센터 카페테이블(1층),황학동 주민센터,황학,기타,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,0,0,,온라인+전화+방문,,서울특별시 중구 난계로11길 52,,서울특별시 중구 황학동,황학동주민센터,02-3396-6893,37.56742273,127.0213823,2022-05-30
"황학동 주민센터 라운지(1층)(작은도서관,우동소)",황학동 주민센터,황학,기타,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,0,0,,온라인+전화+방문,,서울특별시 중구 난계로11길 52,,서울특별시 중구 황학동,황학동주민센터,02-3396-6893,37.56742273,127.0213823,2022-05-30
황학동 주민센터 강당(4층),황학동 주민센터,황학,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,0,386,,자유이용,,서울특별시 중구 난계로11길 52,,서울특별시 중구 황학동,황학동주민센터,02-3396-6893,37.56742273,127.0213823,2022-05-30
중림동 주민센터 대강당(B1),중림동 주민센터,중림,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,80,151.34,빔프로젝터+방송실+창고+책상+의자+엠프+스크린+사회대+정수기+화이트보드+마이크,전화+방문,,서울특별시 중구 만리재로175,,서울특별시 중구 중림동,중림동주민센터,02-3396-8476,37.554753,126.964636,2022-05-30
중림동 주민센터 다목적실(1층),중림동 주민센터,중림,강당,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,50,122.32,빔프로젝터+스크린+앰프+사회대+마이크+책상+의자+붙박이장,전화+방문,,서울특별시 중구 만리재로175,,서울특별시 중구 중림동,중림동주민센터,02-3396-8476,37.554753,126.964636,2022-05-30
중림동 주민센터 쉼터올래(1층),중림동 주민센터,중림,기타,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,30,103.75,테이블+의자+냉장고+커피머신+얼음제조기+오븐,자유이용,,서울특별시 중구 만리재로175,,서울특별시 중구 중림동,중림동주민센터,02-3396-8476,37.554753,126.964636,2022-05-30
중림동 주민센터 회의실(3층),중림동 주민센터,중림,강의실,1월 1일+설 연휴+추석 연휴,9:00,21:00,10:00,18:00,N,,,,,16,48.64,책상+의자+화이트보드+캐비닛,전화+방문,,서울특별시 중구 만리재로175,,서울특별시 중구 중림동,중림동주민센터,02-3396-8476,37.554753,126.964636,2022-05-30
불광1동주민센터 본관4층,불광1동주민센터,불광,다목적실,휴관중,9:00,21:00,10:00,14:00,Y,2,20000,,,50,116,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 진흥로15길 10,,서울특별시 은평구청,불광1동,02-351-5052,37.61035273,126.9320881,2021-09-01
불광1동주민센터 본관1층(주민개방용 공실),불광1동주민센터,불광,주민사랑방,휴관중,9:00,18:00,10:00,14:00,Y,2,10000,,,5,10,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 진흥로15길 10,,서울특별시 은평구청,불광1동,02-351-5052,37.61035273,126.9320881,2021-09-01
